assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,634,0,0,291,0,0,0,0.0,17328,0.0,0,2018-03-11T13:30:00Z,11 Mar 13:30,0,0,0,0,0,18,0,0,0,0,0,0,30,0,0,0,0,0,0,3,0.0,0,0,0,0,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,634,0,0,311,0,0,0,0.0,18229,0.0,0,2018-04-01T12:30:00Z,01 Apr 13:30,0,0,0,0,0,15,0,0,0,0,0,0,32,0,69,0,0,0,0,3,0.0,0,17,34,17,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,634,0,0,321,0,0,0,0.0,18866,0.0,0,2018-04-08T13:15:00Z,08 Apr 14:15,0,0,0,0,0,14,0,0,0,0,0,0,33,0,85,0,0,0,2,3,0.0,0,3,25,22,45,True,0,0
0,34,0,0,0,6,0,2,28,2.8,0,0,634,0,0,336,3,1,0,1.3,19739,5.8,0,2018-04-15T12:30:00Z,15 Apr 13:30,0,0,67,0,0,13,0,0,0,0,0,0,34,0,152,1,0,1,1,2,4.0,2,32,53,21,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,634,0,0,341,0,0,0,0.0,20150,0.0,0,2018-04-22T12:30:00Z,22 Apr 13:30,0,0,0,0,0,20,0,0,0,0,0,0,35,0,179,0,0,0,,,0.0,0,12,30,18,45,True,0,0
