first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
Harry,Maguire,2,4,114,3060,47,218.4,852.6,414.0,10,655,148.5,9,0,7,12.0,56
Riyad,Mahrez,10,11,171,2588,38,783.6,818.2,820.0,18,588,242.5,9,0,1,10.6,89
Marc,Albrighton,2,8,109,2478,37,717.3,570.2,290.0,12,452,158.1,8,0,5,3.1,55
Demarai,Gray,3,2,71,1486,25,341.3,273.4,394.0,2,287,101.1,4,0,2,0.6,53
Daniel,Amartey,0,0,13,486,7,10.3,81.2,0.0,0,53,9.2,3,1,0,0.2,43
Nampalys,Mendy,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Wilfred,Ndidi,0,4,77,2846,43,229.4,630.6,299.0,4,442,116.1,9,2,6,0.4,49
Ahmed,Musa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,61
Vicente,Iborra,3,0,55,1276,17,127.9,329.2,148.0,6,276,60.4,3,0,0,0.2,57
Jamie,Vardy,17,2,157,2888,44,382.1,714.4,1048.0,22,578,214.6,8,0,3,23.5,89
Shinji,Okazaki,6,3,76,1314,19,228.1,347.6,508.0,7,275,107.9,5,0,2,3.1,53
Kelechi,Iheanacho,1,4,38,573,8,145.5,122.6,185.0,3,108,44.8,1,0,2,0.8,65
Eldin,Jakupovic,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,42
Matty,James,0,0,26,991,15,52.7,114.6,145.0,0,121,31.4,4,0,2,0.2,44
Aleksandar,Dragovic,0,0,27,674,10,2.5,156.8,35.0,0,158,19.6,4,0,1,0.1,49
Hamza,Choudhury,0,0,5,146,3,2.5,26.0,8.0,0,22,3.6,0,0,0,0.0,44
George,Thomas,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Adrien Sebastian,Perruchet Silva,0,1,15,445,7,75.1,74.0,32.0,0,78,18.1,1,0,1,0.0,60
Fousseni,Diabaté,0,0,12,374,6,58.9,43.0,33.0,0,37,13.6,0,0,1,0.1,49
