assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
1,0,15,0,0,0,171162,0,0,-2,2,18.5,0,0,3,0.0,0.0,0,Charly,0.0,0,0,5.0,471,False,20.6,0,0,0,0,35,18 month loan to Celtic,2018-01-30T09:40:07Z,48,0,0,0,171162.jpg,2.0,0,0,Musonda,0.0,False,17,u,5,8,14.0,6,1718,0,4547,0,0.0,1.3,Musonda,0
6,13,345,100,100,11,88482,0,0,4,-4,452.8,2,0,4,4.3,0.0,0,Álvaro,3.8,18,11,217.2,472,False,604.2,0,0,0,0,1946,,2018-02-12T20:01:19Z,104,0,0,0,88482.jpg,4.2,0,0,Morata,7.8,False,9,a,5,8,1118.0,118,3865720,178,4002172,437,0.4,11.3,Morata,7
0,0,0,0,0,0,194794,0,0,0,0,0.0,0,0,2,0.0,0.0,0,Fikayo,0.0,0,0,0.0,503,False,0.0,0,0,0,0,0,Season-long loan to Hull,2017-09-04T10:55:03Z,45,0,0,0,194794.jpg,0.0,0,0,Tomori,0.0,False,31,u,5,8,0.0,0,427,0,810,0,0.0,0.0,Tomori,0
0,0,0,None,None,0,181911,0,0,-2,2,0.0,0,0,3,0.5,0.0,0,Kyle,0.0,0,0,0.0,504,False,0.0,0,0,0,0,0,,None,43,0,0,0,181911.jpg,0.0,0,0,Scott,0.1,False,36,a,5,8,0.0,0,6758,1,6771,1,0.0,0.0,Scott,0
0,0,1,0,0,0,135365,0,0,0,0,1.0,0,0,3,0.0,0.0,0,Jeremie,0.0,0,0,0.0,509,False,0.0,0,0,0,0,17,Season-long loan to Birmingham,2017-08-28T16:01:14Z,60,0,0,0,135365.jpg,1.0,0,0,Boga,0.0,False,38,u,5,8,0.0,1,545,0,997,0,0.0,0.2,Boga,0
1,1,220,100,100,5,105700,0,0,-1,1,241.6,0,0,2,1.0,0.0,0,Davide,0.5,14,1,81.6,543,False,250.8,0,0,0,0,1033,,2018-04-14T11:31:21Z,59,0,0,0,105700.jpg,2.8,0,0,Zappacosta,0.2,False,21,a,5,8,327.0,56,54081,4,50507,4,0.1,9.5,Zappacosta,0
0,0,6,0,0,0,199598,0,0,0,0,0.0,0,0,3,0.0,0.0,0,Ethan,0.0,1,0,0.7,558,False,7.4,0,0,0,0,10,Ankle injury - Unknown return date,2018-03-10T17:01:18Z,45,0,0,0,199598.jpg,1.0,0,0,Ampadu,0.0,False,44,i,5,8,0.0,1,809,0,724,2,0.0,0.2,Ampadu,0
0,0,11,None,None,0,209046,0,0,0,0,1.7,0,0,3,0.8,0.0,0,Callum,0.3,1,0,3.8,583,False,8.8,0,0,0,0,27,,None,45,0,0,0,209046.jpg,1.0,0,0,Hudson-Odoi,0.0,False,70,a,5,8,27.0,2,543,0,391,1,0.1,0.4,Hudson-Odoi,0
0,0,0,None,None,0,199583,0,0,0,0,0.0,0,0,2,0.5,0.0,0,Dujon,0.0,0,0,0.0,600,False,0.0,0,0,0,0,0,,None,45,0,0,0,199583.jpg,0.0,0,0,Sterling,0.0,False,66,a,5,8,0.0,0,1053,2,705,5,0.0,0.0,Sterling,0
1,0,28,75,75,0,109533,0,0,-3,3,17.9,0,0,2,1.5,0.0,0,Emerson,1.5,1,0,6.7,614,False,27.8,0,0,0,0,98,,2018-02-02T17:01:20Z,52,0,0,0,109533.jpg,2.3,0,0,Palmieri dos Santos,0.0,False,33,a,5,8,21.0,7,2731,130,1765,6,0.3,1.3,Emerson,0
