FirstName,Surname,PositionsList,Team
Bruno,Martins Indi,DEF,Stoke
Brandon,Mason,DEF,Watford
Conor,Masterson,DEF,Liverpool
Arthur,Masuaku,DEF,West Ham
Juan,Mata,MID,Man Utd
Nemanja,Matic,MID,Man Utd
Joel,Matip,DEF,Liverpool
Konstantinos,Mavropanos,DEF,Arsenal
Alfie,Mawson,DEF,Swansea
Chancel,Mbemba,DEF,Newcastle Utd
James,McArthur,MID,Crystal Palace
Gareth,McAuley,DEF,West Brom
Oliver,McBurnie,FWD,Swansea
Alex,McCarthy,GLK,Southampton
James,McCarthy,MID,Everton
James,McClean,MID,West Brom
Sam,McQueen,DEF,Southampton
Scott,McTominay,MID,Man Utd
Ben,Mee,DEF,Burnley
Max,Melbourne,DEF,West Brom
Benjamin,Mendy,DEF,Man City
Nampalys,Mendy,MID,Leicester
Mikel,Merino,MID,Newcastle Utd
Per,Mertesacker,DEF,Arsenal
Roque,Mesa,MID,Swansea
Simon,Mignolet,GLK,Liverpool
Luka,Milivojevic,MID,Crystal Palace
James,Milner,DEF,Liverpool
Tyrone,Mings,DEF,Bournemouth
Kevin,Mirallas,MID,Everton
Aleksandar,Mitrovic,FWD,Newcastle Utd
Henrikh,Mkhitaryan,MID,Arsenal
Jayson,Molumby,MID,Brighton & Hove Albion
Nacho,Monreal,DEF,Arsenal
Jefferson,Montero,MID,Swansea
Aaron,Mooy,MID,Huddersfield Town
Álvaro,Morata,FWD,Chelsea
Alberto,Moreno,DEF,Liverpool
Wes,Morgan,DEF,Leicester
James,Morrison,MID,West Brom
Victor,Moses,DEF,Chelsea
Steve,Mounie,FWD,Huddersfield Town
Lys,Mousset,FWD,Bournemouth
Joy,Mukena,DEF,Watford
Erwin,Mulder,GLK,Swansea
Marc,Muniesa,DEF,Stoke
Daryl,Murphy,FWD,Newcastle Utd
Jacob,Murphy,MID,Newcastle Utd
Jamie,Murphy,MID,Brighton & Hove Albion
Glenn,Murray,FWD,Brighton & Hove Albion
Ahmed,Musa,MID,Leicester
Charly,Musonda,MID,Chelsea
Shkodran,Mustafi,DEF,Arsenal
Jordon,Mutch,MID,Crystal Palace
Boaz,Myhill,GLK,West Brom
Luciano,Narsingh,MID,Swansea
Kyle,Naughton,DEF,Swansea
Wilfred,Ndidi,MID,Leicester
Didier,Ndong,MID,Watford
Reiss,Nelson,MID,Arsenal
Julien,Ngoy,FWD,Stoke
Oumar,Niasse,FWD,Everton
Edward,Nketiah,FWD,Arsenal
Georges-Kévin,Nkoudou,MID,Burnley
Lukas,Nmecha,FWD,Man City
Mark,Noble,MID,West Ham
 ,Nolito,MID,Man City
Kristoffer,Nordfeldt,GLK,Swansea
Oliver,Norwood,MID,Brighton & Hove Albion
Allan-Roméo,Nyom,DEF,West Brom
Tashan,Oakley-Boothe,MID,Tottenham
Michael,Obafemi,FWD,Southampton
Pedro,Obiang,MID,West Ham
Angelo,Ogbonna,DEF,West Ham
Stefano,Okaka,FWD,Watford
Shinji,Okazaki,FWD,Leicester
Martin,Olsson,DEF,Swansea
Aiden,O'Neill,MID,Burnley
Divock,Origi,FWD,Liverpool
Oriol,Romeu Vidal,MID,Southampton
David,Ospina,GLK,Arsenal
Nicolás,Otamendi,DEF,Man City
Reece,Oxford,DEF,West Ham
Mesut,Özil,MID,Arsenal
Alex,Palmer,GLK,West Brom
Kasey,Palmer,MID,Chelsea
Costel,Pantilimon,GLK,Watford
Josh,Pask,DEF,West Ham
Jack,Payne,MID,Huddersfield Town
Pedro,Rodríguez Ledesma,MID,Chelsea
Matthew,Pennington,DEF,Everton
Andreas,Pereira,MID,Man Utd
Roberto,Pereyra,MID,Watford
Ayoze,Pérez,FWD,Newcastle Utd
Lucas,Pérez,FWD,Arsenal
Matt,Phillips,MID,West Brom
Jordan,Pickford,GLK,Everton
Jérémy,Pied,DEF,Southampton
Erik,Pieters,DEF,Stoke
Paul,Pogba,MID,Man Utd
Nick,Pope,GLK,Burnley
Alex,Pritchard,MID,Huddersfield Town
Sebastian,Prödl,DEF,Watford
Davy,Pröpper,MID,Brighton & Hove Albion
Marc,Pugh,MID,Bournemouth
Jason,Puncheon,MID,Crystal Palace
Collin,Quaner,FWD,Huddersfield Town
Domingos,Quina,MID,West Ham
Erdal,Rakip,MID,Crystal Palace
Aaron,Ramsdale,GLK,Bournemouth
Aaron,Ramsey,MID,Arsenal
Darren,Randolph,GLK,West Ham
Angel,Rangel,DEF,Swansea
Marcus,Rashford,FWD,Man Utd
Nathan,Redmond,MID,Southampton
Winston,Reid,DEF,West Ham
Declan,Rice,DEF,West Ham
Richarlison,de Andrade,MID,Watford
Jairo,Riedewald,DEF,Crystal Palace
Matt,Ritchie,MID,Newcastle Utd
Connor,Roberts,DEF,Swansea
Andrew,Robertson,DEF,Liverpool
Paul,Robinson,GLK,Burnley
Joel,Robles,GLK,Everton
Hal,Robson-Kanu,FWD,West Brom
Joe,Rodon,DEF,Swansea
Jay,Rodriguez,FWD,West Brom
Marcos,Rojo,DEF,Man Utd
Sergio,Romero,GLK,Man Utd
Salomón,Rondón,FWD,West Brom
Wayne,Rooney,FWD,Everton
Danny,Rose,DEF,Tottenham
Liam,Rosenior,DEF,Brighton & Hove Albion
Wayne,Routledge,MID,Swansea
Antonio,Rüdiger,DEF,Chelsea
Mathew,Ryan,GLK,Brighton & Hove Albion
Abdelhamid,Sabiri,MID,Huddersfield Town
Henri,Saivet,MID,Newcastle Utd
Diafra,Sakho,FWD,West Ham
Mamadou,Sakho,DEF,Crystal Palace
Bakary,Sako,MID,Crystal Palace
Mohamed,Salah,MID,Liverpool
Renato,Sanches,MID,Swansea
Alexis,Sánchez,MID,Man Utd
Davinson,Sánchez,DEF,Tottenham
Sandro,Ramírez,FWD,Everton
Leroy,Sané,MID,Man City
Sean,Scannell,MID,Huddersfield Town
Ezequiel,Schelotto,DEF,Brighton & Hove Albion
Christopher,Schindler,DEF,Huddersfield Town
Jeffrey,Schlupp,DEF,Crystal Palace
Kasper,Schmeichel,GLK,Leicester
Morgan,Schneiderlin,MID,Everton
Kyle,Scott,MID,Chelsea
Xherdan,Shaqiri,MID,Stoke
Luke,Shaw,DEF,Man Utd
Ryan,Shawcross,DEF,Stoke
Jonjo,Shelvey,MID,Newcastle Utd
Oluwaseyi,Ojo,MID,Liverpool
Steve,Sidwell,MID,Brighton & Hove Albion
Gylfi,Sigurdsson,MID,Everton
 ,Silva,MID,Leicester
Danny,Simpson,DEF,Leicester
Jack,Simpson,DEF,Bournemouth
Joshua,Sims,MID,Southampton
Jerome,Sinclair,FWD,Watford
Moussa,Sissoko,MID,Tottenham
Jiri,Skalak,MID,Brighton & Hove Albion
Islam,Slimani,FWD,Newcastle Utd
Chris,Smalling,DEF,Man Utd
Tommy,Smith,DEF,Huddersfield Town
Robert,Snodgrass,MID,West Ham
Ramadan,Sobhi,MID,Stoke
Dominic,Solanke,FWD,Liverpool
Heung-Min,Son,MID,Tottenham
Lasse,Sorenson,MID,Stoke
Alexander,Sørloth,FWD,Crystal Palace
Pape,Souaré,DEF,Crystal Palace
Harry,Souttar,DEF,Stoke
Julian,Speroni,GLK,Crystal Palace
Konstantinos,Stafylidis,DEF,Stoke
Junior,Stanislas,MID,Bournemouth
Jon Gorenc,Stankovic,DEF,Huddersfield Town
Maarten,Stekelenburg,GLK,Everton
Dale,Stephens,MID,Brighton & Hove Albion
Jack,Stephens,DEF,Southampton
Dujon,Sterling,DEF,Chelsea
Kazaiah,Sterling,FWD,Tottenham
Raheem,Sterling,MID,Man City
Steve,Cook,DEF,Bournemouth
Carl,Stewart,MID,Watford
John,Stones,DEF,Man City
Daniel,Sturridge,FWD,West Brom
Isaac,Success,MID,Watford
Andrew,Surman,MID,Bournemouth
Markus,Suttner,DEF,Brighton & Hove Albion
Dusan,Tadic,MID,Southampton
Matt,Targett,DEF,Southampton
James,Tarkowski,DEF,Burnley
Charlie,Taylor,DEF,Burnley
Kyle,Taylor,MID,Bournemouth
Stuart,Taylor,GLK,Southampton
George,Thomas,MID,Leicester
James,Tomkins,DEF,Crystal Palace
Fikayo,Tomori,DEF,Chelsea
Cenk,Tosun,FWD,Everton
Andros,Townsend,MID,Crystal Palace
Kieran,Trippier,DEF,Tottenham
Nathan,Trott,GLK,West Ham
Axel,Tuanzebe,DEF,Man Utd
Rayhaan,Tulloch,FWD,West Brom
Josh,Tymon,DEF,Stoke
Leonardo,Ulloa,FWD,Brighton & Hove Albion
Fredrik,Ulvestad,MID,Burnley
Antonio,Valencia,DEF,Man Utd
Enner,Valencia,FWD,West Ham
Patrick,van Aanholt,DEF,Crystal Palace
Mike,van der Hoorn,DEF,Swansea
Virgil,van Dijk,DEF,Liverpool
Rajiv,van La Parra,MID,Huddersfield Town
Jamie,Vardy,FWD,Leicester
Jan,Vertonghen,DEF,Tottenham
Nikola,Vlasic,MID,Everton
Sam,Vokes,FWD,Burnley
Michel,Vorm,GLK,Tottenham
Molla,Wagué,DEF,Watford
Theo,Walcott,MID,Everton
Kyle,Walker,DEF,Man City
Kyle,Walker-Peters,DEF,Tottenham
Jonathan,Walters,MID,Burnley
Aaron,Wan-Bissaka,MID,Crystal Palace
Victor,Wanyama,MID,Tottenham
Danny,Ward,GLK,Liverpool
Joel,Ward,DEF,Crystal Palace
Stephen,Ward,DEF,Burnley
James,Ward-Prowse,MID,Southampton
Ben,Watson,MID,Watford
Danny,Welbeck,FWD,Arsenal
Nahki,Wells,FWD,Burnley
Ashley,Westwood,MID,Burnley
Glenn,Whelan,MID,Stoke
Dean,Whitehead,MID,Huddersfield Town
Alfie,Whiteman,GLK,Tottenham
Connor,Wickham,FWD,Crystal Palace
Georginio,Wijnaldum,MID,Liverpool
Ashley,Williams,DEF,Everton
Danny,Williams,MID,Huddersfield Town
Willian,Borges Da Silva,MID,Chelsea
Joseph,Willock,MID,Arsenal
Jack,Wilshere,MID,Arsenal
Callum,Wilson,FWD,Bournemouth
Kane,Wilson,DEF,West Brom
Kevin,Wimmer,DEF,Stoke
Harry,Winks,MID,Tottenham
Chris,Wood,FWD,Burnley
Ben,Woodburn,MID,Liverpool
Freddie,Woodman,GLK,Newcastle Utd
Granit,Xhaka,MID,Arsenal
Claudio,Yacob,MID,West Brom
Gnegneri Yaya,Touré,MID,Man City
DeAndre,Yedlin,DEF,Newcastle Utd
Maya,Yoshida,DEF,Southampton
Ashley,Young,MID,Man Utd
Pablo,Zabaleta,DEF,West Ham
Wilfried,Zaha,MID,Crystal Palace
 ,Zanka,DEF,Huddersfield Town
Davide,Zappacosta,DEF,Chelsea
Mauro,Zárate,FWD,Watford
Marvin,Zeegelaar,DEF,Watford
Oleksandr,Zinchenko,MID,Man City
Kurt,Zouma,DEF,Stoke
Mathias,Jorgensen,DEF,Huddersfield Town
Javier,Hernández Balcázar,FWD,West Ham
