FirstName,Surname,PositionsList,Team
Almen,Abdi,MID,Watford
Charlie,Adam,MID,Stoke
Albert,Adomah,MID,Middlesbrough
Adrian,San Miguel del Castillo,GLK,West Ham
Ibrahim,Afellay,MID,Stoke
Benik,Afobe,FWD,AFC Bournemouth
Sergio,Aguero,FWD,Manchester City
Ola,Aina,DEF,Chelsea
Nathan,Ake,DEF,AFC Bournemouth
Chuba,Akpom,FWD,Arsenal
Marc,Albrighton,MID,Leicester
Toby,Alderweireld,DEF,Tottenham
Trent,Alexander-Arnold,MID,Liverpool
Joe,Allen,MID,Stoke
Bamidele,Alli,MID,Tottenham
Marcos,Alonso,DEF,Chelsea
Daniel,Amartey,MID,Leicester
Jordi,Amat,DEF,Swansea
Nordin,Amrabat,MID,Watford
Keshi,Anderson,FWD,Crystal Palace
Jose Angel,Esmoris Tasende,DEF,Manchester City
Victor,Anichebe,FWD,Sunderland
Michail,Antonio,MID,West Ham
Ikechi,Anya,MID,Watford
Alvaro,Arbeloa,DEF,West Ham
Scott,Arfield,MID,Burnley
Marko,Arnautovic,MID,Stoke
Harry,Arter,MID,AFC Bournemouth
Takuma,Asano,FWD,Arsenal
Joel,Asoro,MID,Sunderland
Charlie,Austin,FWD,Southampton
Daniel,Ayala,DEF,Middlesbrough
Andre,Ayew,MID,West Ham
Cesar,Azpilicueta,DEF,Chelsea
Abdul Rahman,Baba,DEF,Chelsea
Eric,Bailly,DEF,Man Utd
Leighton,Baines,DEF,Everton
Mario,Balotelli,FWD,Liverpool
Patrick,Bamford,FWD,Burnley
Alex,Baptiste,DEF,Middlesbrough
Phil,Bardsley,DEF,Stoke
Ross,Barkley,MID,Everton
Ashley,Barnes,FWD,Burnley
Antonio,Barragan,DEF,Middlesbrough
Modou,Barrow,FWD,Swansea
Gareth,Barry,MID,Everton
Borja,Baston,FWD,Swansea
Michy,Batshuayi,FWD,Chelsea
Asmir,Begovic,GLK,Chelsea
Valon,Behrami,MID,Watford
Hector,Bellerin,DEF,Arsenal
Yohan,Benalouane,DEF,Leicester
Nabil,Bentaleb,MID,Tottenham
Saido,Berahino,FWD,West Brom
Steven,Berghuis,MID,Watford
Bernardo,Espinosa Zúñiga,DEF,Middlesbrough
Ryan,Bertrand,DEF,Southampton
Muhamed,Besic,MID,Everton
Daley,Blind,DEF,Man Utd
Hiram,Boateng,MID,Crystal Palace
Bojan,Krkic,MID,Stoke
Yannick,Bolasie,MID,Everton
Wilfried,Bony,FWD,Stoke
Fabio,Borini,FWD,Sunderland
Cameron,Borthwick-Jackson,DEF,Man Utd
Artur,Boruc,GLK,AFC Bournemouth
Sofiane,Boufal,MID,Southampton
Jarrod,Bowen,FWD,Hull
George,Boyd,MID,Burnley
Cameron,Brannagan,MID,Liverpool
Claudio,Bravo,GLK,Manchester City
Miguel,Britos,DEF,Watford
Leon,Britton,MID,Swansea
Tyias,Browning,DEF,Everton
Alex,Bruce,DEF,Hull
Chris,Brunt,DEF,West Brom
Reece,Burke,DEF,West Ham
Jack,Butland,GLK,Stoke
Sam,Byram,DEF,West Ham
Willy,Caballero,GLK,Manchester City
Yohan,Cabaye,MID,Crystal Palace
Gary,Cahill,DEF,Chelsea
Jonathan,Calleri,FWD,West Ham
Callum,Wilson,FWD,AFC Bournemouth
Geoff,Cameron,DEF,Stoke
Fraizer,Campbell,FWD,Crystal Palace
Joel,Campbell,MID,Arsenal
Emre,Can,MID,Liverpool
Etienne,Capoue,MID,Watford
Michael,Carrick,MID,Man Utd
Andy,Carroll,FWD,West Ham
Tom,Carroll,MID,Tottenham
Cameron,Carter-Vickers,DEF,Tottenham
Craig,Cathcart,DEF,Watford
Lee,Cattermole,MID,Sunderland
Santiago,Cazorla,MID,Arsenal
Petr,Cech,GLK,Arsenal
Cedric,Soares,DEF,Southampton
Nacer,Chadli,MID,West Brom
Nathaniel,Chalobah,MID,Chelsea
 ,Chamberlain,MID,Arsenal
Calum,Chambers,DEF,Middlesbrough
James,Chester,DEF,West Brom
Benjamin,Chilwell,DEF,Leicester
Pedro,Chirivella,MID,Liverpool
Christian,Benteke,FWD,Crystal Palace
Josh,Clackstone,DEF,Hull
Jordy,Clasie,MID,Southampton
Adam,Clayton,MID,Middlesbrough
Tom,Cleverley,MID,Everton
Gael,Clichy,DEF,Manchester City
Sam,Clucas,MID,Hull
Nathaniel,Clyne,DEF,Liverpool
Seamus,Coleman,DEF,Everton
James,Collins,DEF,West Ham
Lewis,Cook,MID,AFC Bournemouth
Steve,Cook,DEF,AFC Bournemouth
Francis,Coquelin,MID,Arsenal
Jack,Cork,MID,Swansea
Diego,Da Silva Costa,FWD,Chelsea
Thibaut,Courtois,GLK,Chelsea
Philippe,Coutinho,MID,Liverpool
Aaron,Cresswell,DEF,West Ham
Peter,Crouch,FWD,Stoke
Juan,Cuadrado,MID,Chelsea
Josh,Cullen,MID,West Ham
Charlie,Daniels,DEF,AFC Bournemouth
Scott,Dann,DEF,Crystal Palace
Tendayi,Darikwa,DEF,Burnley
Matteo,Darmian,DEF,Man Utd
David,Luiz Moreira Marinho,DEF,Chelsea
Ben,Davies,DEF,Tottenham
Curtis,Davies,DEF,Hull
Tom,Davies,MID,Everton
Steven,Davis,MID,Southampton
Craig,Dawson,DEF,West Brom
Michael,Dawson,DEF,Hull
Kevin,De Bruyne,MID,Manchester City
David,de Gea,GLK,Man Utd
Ritchie,de Laet,DEF,Leicester
Carlos,De Pena,MID,Middlesbrough
Marten,de Roon,MID,Middlesbrough
Julien,de Sart,MID,Middlesbrough
Mathieu,Debuchy,DEF,Arsenal
Troy,Deeney,FWD,Watford
Jermain,Defoe,FWD,Sunderland
Steven,Defour,MID,Burnley
Damien,Delaney,DEF,Crystal Palace
Fabian,Delph,MID,Manchester City
Mousa,Dembele,MID,Tottenham
Jason,Denayer,DEF,Sunderland
Memphis,Depay,MID,Man Utd
Gerard,Deulofeu,MID,Everton
Mohamed,Diame,MID,Hull
Eric,Dier,MID,Tottenham
Adama,Diomande,FWD,Hull
Mame Biram,Diouf,FWD,Stoke
Brice,Dja Djedje,DEF,Watford
Papy,Djilobodji,DEF,Sunderland
Abdoulaye,Doucoure,MID,Watford
Stewart,Downing,MID,Middlesbrough
Luke,Dreher,MID,Crystal Palace
Daniel,DrinkWater,MID,Leicester
Nathan,Dyer,MID,Swansea
Oviemuno,Ejaria,MID,Liverpool
Ahmed,Elmohamady,MID,Hull
Mohamed,Elneny,MID,Arsenal
Marvin,Emnes,FWD,Swansea
Christian,Eriksen,MID,Tottenham
Jonny,Evans,DEF,West Brom
Lukasz,Fabianski,GLK,Swansea
Fabio Pereira,da Silva,DEF,Middlesbrough
Cesc,Fabregas,MID,Chelsea
Adam,Federici,GLK,AFC Bournemouth
Sofiane,Feghouli,MID,West Ham
Marouane,Fellaini,MID,Man Utd
Leroy,Fer,MID,Swansea
Edimilson,Fernandes,MID,West Ham
Federico,Fernandez,DEF,Swansea
Fernando,Luiz Rosa,MID,Manchester City
 ,Fernando,MID,Manchester City
Sam,Field,MID,West Brom
Roberto,Firmino,MID,Liverpool
Viktor,Fischer,MID,Middlesbrough
Mathieu,Flamini,MID,Crystal Palace
Jon,Flanagan,DEF,Burnley
Ashley,Fletcher,FWD,West Ham
Darren,Fletcher,MID,West Brom
Jose,Fonte,DEF,Southampton
Adam,Forshaw,MID,Middlesbrough
Fraser,Forster,GLK,Southampton
Ben,Foster,GLK,West Brom
Timothy,Fosu-Mensah,DEF,Man Utd
Simon,Francis,DEF,AFC Bournemouth
Ryan,Fraser,MID,AFC Bournemouth
George,Friend,DEF,Middlesbrough
Dael,Fry,DEF,Middlesbrough
Ezekiel,Fryers,DEF,Crystal Palace
Christian,Fuchs,DEF,Leicester
Jay,Fulton,MID,Swansea
Ramiro,Funes Mori,DEF,Everton
Gabriel Armando,de Abreu,DEF,Arsenal
Brendan,Galloway,DEF,West Brom
Cristian,Gamboa,DEF,West Brom
Aleix,Garcia Serrano,MID,Manchester City
Craig,Gardner,MID,West Brom
Florin,Gardos,DEF,Southampton
Paulo,Gazzaniga,GLK,Southampton
Kieran,Gibbs,DEF,Arsenal
Ben,Gibson,DEF,Middlesbrough
Darron,Gibson,MID,Everton
Olivier,Giroud,FWD,Arsenal
Shay,Given,GLK,Stoke
Serge,Gnabry,MID,Arsenal
Heurelho,Gomes,GLK,Watford
Joseph,Gomez,DEF,Liverpool
Bafetimbi,Gomis,FWD,Swansea
Lynden,Gooch,MID,Sunderland
Dan,Gosling,MID,AFC Bournemouth
Lewis,Grabban,FWD,AFC Bournemouth
Max,Gradel,MID,AFC Bournemouth
Lee,Grant,GLK,Stoke
Andre,Gray,FWD,Burnley
Demarai,Gray,MID,Leicester
Marko,Grujic,MID,Liverpool
Johann Berg,Gudmundsson,MID,Burnley
Adlene,Guedioura,MID,Watford
Idrissa,Gueye,MID,Everton
Ilkay,Gundogan,MID,Manchester City
Bradley,Guzan,GLK,Middlesbrough
Ben,Hamer,GLK,Leicester
Joe,Hart,GLK,Manchester City
Jakob,Haugaard,GLK,Stoke
Eden,Hazard,MID,Chelsea
Tom,Heaton,GLK,Burnley
Jordan,Henderson,MID,Liverpool
Jeff,Hendrick,MID,Burnley
Wayne,Hennessey,GLK,Crystal Palace
Rouwen,Hennings,FWD,Burnley
Markus,Henriksen,MID,Hull
Abel,Hernandez,FWD,Hull
Luis,Hernandez,DEF,Leicester
Ander,Herrera,MID,Man Utd
Ben,Hinchcliffe,FWD,Hull
Tommie,Hoban,DEF,Watford
Pierre-Emile,Hjbjerg,MID,Southampton
Rob,Holding,DEF,Arsenal
Jose,Holebas,DEF,Watford
Mason,Holgate,DEF,Everton
Tom,Huddlestone,MID,Hull
Robert,Huth,DEF,Leicester
Emerson,Hyndman,MID,AFC Bournemouth
Jordon,Ibe,MID,AFC Bournemouth
Zlatan,Ibrahimovic,FWD,Man Utd
Odion,Ighalo,FWD,Watford
Kelechi,Iheanacho,FWD,Manchester City
Giannelli,Imbula,MID,Stoke
Danny,Ings,FWD,Liverpool
Gokhan,Inler,MID,Leicester
Stephen,Ireland,MID,Stoke
Lloyd,Isgrove,MID,Southampton
Branislav,Ivanovic,DEF,Chelsea
Alex,Iwobi,MID,Arsenal
Phil,Jagielka,DEF,Everton
Eldin,Jakupovic,GLK,Hull
Daryl,Janmaat,DEF,Watford
Vincent,Janssen,FWD,Tottenham
Adnan,Januzaj,MID,Sunderland
Mile,Jedinak,MID,Crystal Palace
Carl,Jenkinson,DEF,Arsenal
Glen,Johnson,DEF,Stoke
Jonathan,Benteke,FWD,Crystal Palace
Billy,Jones,DEF,Sunderland
David,Jones,MID,Burnley
Phil,Jones,DEF,Man Utd
Jose Luis,Mato Sanmartín,FWD,Stoke
Josh,Robson,DEF,Sunderland
Lukas,Jutkiewicz,FWD,Burnley
Christian,Kabasele,DEF,Watford
Younes,Kaboul,DEF,Watford
Sullay,Kaikai,MID,Crystal Palace
Harry,Kane,FWD,Tottenham
N'Golo,Kante,MID,Chelsea
Bartosz,Kapustka,MID,Leicester
Loris,Karius,GLK,Liverpool
Michael,Keane,DEF,Burnley
Will,Keane,FWD,Hull
Martin,Kelly,DEF,Crystal Palace
Robert Kenedy,Nunes do Nascimento,MID,Watford
Wahbi,Khazri,MID,Sunderland
Sung-yueng,Ki,MID,Swansea
Michael,Kightly,MID,Burnley
Andy,King,MID,Leicester
Joshua,King,MID,AFC Bournemouth
Stephen,Kingsley,DEF,Swansea
Jan,Kirchhoff,MID,Sunderland
Ragnar,Klavan,DEF,Liverpool
Aleksandar,Kolarov,DEF,Manchester City
Vincent,Kompany,DEF,Manchester City
Arouna,Kone,FWD,Everton
Lamine,Kone,DEF,Sunderland
Dimitrios,Konstantopoulos,GLK,Middlesbrough
Laurent,Koscielny,DEF,Arsenal
Cheikhou,Kouyate,MID,West Ham
Dusan,Kuciak,GLK,Hull
Olayinka Fredrick Oladotun,Ladapo,FWD,Crystal Palace
Daniel,Lafferty,DEF,Burnley
Adam,Lallana,MID,Liverpool
Rickie,Lambert,FWD,West Brom
Erik,Lamela,MID,Tottenham
Manuel,Lanzini,MID,West Ham
Sebastian,Larsson,MID,Sunderland
Grant,Leadbitter,MID,Middlesbrough
Joe,Ledley,MID,Crystal Palace
Chung-yong,Lee,MID,Crystal Palace
Jonathan,Leko,MID,West Brom
Brian,Lenihan,DEF,Hull
Aaron,Lennon,MID,Everton
Jeremain,Lens,MID,Sunderland
Jesse,Lingard,MID,Man Utd
Jake,Livermore,MID,Hull
Fernando,Llorente,FWD,Swansea
Hugo,Lloris,GLK,Tottenham
Ruben,Loftus-Cheek,MID,Chelsea
Chris,Long,FWD,Burnley
Shane,Long,FWD,Southampton
Donald,Love,DEF,Sunderland
Dejan,Lovren,DEF,Liverpool
Matthew,Lowton,DEF,Burnley
Leiva,Lucas,MID,Liverpool
Greg,Luer,FWD,Hull
Romelu,Lukaku,FWD,Everton
Shaun,MacDonald,MID,AFC Bournemouth
Pablo,Maffeo,DEF,Manchester City
Harry,Maguire,DEF,Hull
Riyad,Mahrez,MID,Leicester
Shaun,Maloney,MID,Hull
Steve,Mandanda,GLK,Crystal Palace
Sadio,Mane,MID,Liverpool
Eliaquim,Mangala,DEF,Manchester City
Alexander,Manninger,GLK,Liverpool
Vito,Mannone,GLK,Sunderland
Javier,Manquillo,DEF,Sunderland
Marc,Wilson,DEF,AFC Bournemouth
Adrian,Mariappa,DEF,Watford
Lazar,Markovic,MID,Liverpool
Dean,Marney,MID,Burnley
David,Marshall,GLK,Hull
Anthony,Martial,MID,Man Utd
Cuco,Martina,DEF,Southampton
Bruno,Martins Indi,DEF,Stoke
Ryan,Mason,MID,Hull
Arthur,Masuaku,DEF,West Ham
Juan,Mata,MID,Man Utd
Nemanja,Matic,MID,Chelsea
Joel,Matip,DEF,Liverpool
Adam,Matthews,DEF,Sunderland
Alfie,Mawson,DEF,Swansea
Dieumerci,Mbokani,FWD,Hull
James,McArthur,MID,Crystal Palace
