player,position,,,
Cameron Dummigan,Defender,,,
Lloyd Dyer,Midfielder,,,
Éder,Forward,,,
Joel Ekstrand,Defender,,,
Omar Elabdellaoui,Defender,,,
Andrew Eleftheriou,Defender,,,
Tommy Elphick,Defender,,,
Emmanuel Emenike,Forward,,,
Emmanuel Eboué,Defender,,,
Marvin Emnes,Forward,,,
Christian Eriksen,Midfielder,,,
Lukasz Fabianski,Goalkeeper,,,
Cesc Fàbregas,Midfielder,,,
David Faupala,Forward,,,
Federico Fazio,Defender,,,
Adam Federici,Goalkeeper,,,
Federico Fernández,Defender,,,
Sofiane Feghouli,Midfielder,,,
Marouane Fellaini,Midfielder,,,
Leroy Fer,Midfielder,,,
Edimilson Fernandes,Midfielder,,,
Fernandinho,Midfielder,,,
Fernando,Midfielder,,,
Sam Field,Midfielder,,,
Mathieu Flamini,Midfielder,,,
Jon Flanagan,Defender,,,
Steven Fletcher,Forward,,,
Adam Forshaw,Midfielder,,,
Fraser Forster,Goalkeeper,,,
Ben Foster,Goalkeeper,,,
Timothy Fosu-Mensah,Defender,,,
Simon Francis,Defender,,,
Ryan Fraser,Midfielder,,,
George Friend,Defender,,,
Dael Fry,Midfielder,,,
Ezekiel Fryers,Defender,,,
Christian Fuchs,Defender,,,
Jay Fulton,Midfielder,,,
Ramiro Funes Mori,Defender,,,
Manolo Gabbiadini,Forward,,,
Gabriel,Defender,,,
Gabriel Jesus,Forward,,,
Brendan Galloway,Defender,,,
Cristian Gamboa,Defender,,,
Luke Garbutt,Defender,,,
Craig Gardner,Midfielder,,,
Florin Gardos,Defender,,,
Dwight Gayle,Forward,,,
Paulo Gazzaniga,Goalkeeper,,,
Kieran Gibbs,Defender,,,
Darron Gibson,Midfielder,,,
Jason Gilchrist,Forward,,,
Matthew Gilks,Goalkeeper,,,
Rene Gilmartin,Goalkeeper,,,
Olivier Giroud,Forward,,,
Shay Given,Goalkeeper,,,
George Glendon,Midfielder,,,
Serge Gnabry,Forward,,,
Heurelho Gomes,Goalkeeper,,,
Joseph Gomez,Defender,,,
Bafétimbi Gomis,Forward,,,
Kenji Gorré,Midfielder,,,
Dan Gosling,Midfielder,,,
Sean Goss,Midfielder,,,
Lewis Grabban,Forward,,,
Max Gradel,Forward,,,
Lee Grant,Goalkeeper,,,
Andre Gray,Forward,,,
Jordan Green,Midfielder,,,
Rees Greenwood,Midfielder,,,
Matt Grimes,Midfielder,,,
Kamil Grosicki,Midfielder,,,
Marko Grujic,Midfielder,,,
Adlène Guédioura,Midfielder,,,
Idrissa Gueye,Midfielder,,,
Ilkay Gündogan,Midfielder,,,
Angus Gunn,Goalkeeper,,,
Gylfi Sigurdsson,Midfielder,,,
Ben Hamer,Goalkeeper,,,
Dean Hammond,Midfielder,,,
Brede Hangeland,Defender,,,
Steve Harper,Goalkeeper,,,
Joe Hart,Goalkeeper,,,
Mouez Hassen,Goalkeeper,,,
Jakob Haugaard,Goalkeeper,,,
Eden Hazard,Midfielder,,,
Tom Heaton,Goalkeeper,,,
Jordan Henderson,Midfielder,,,
Jeff Hendrick,Midfielder,,,
Stephen Hendrie,Defender,,,
Wayne Hennessey,Goalkeeper,,,
Rouwen Hennings,Forward,,,
Doneil Henry,Defender,,,
Abel Hernández,Forward,,,
Ander Herrera,Midfielder,,,
Mateusz Hewelt,Goalkeeper,,,
Tony Hibbert,Defender,,,
Tommie Hoban,Defender,,,
Rob Holding,Defender,,,
José Holebas,Defender,,,
Mason Holgate,Defender,,,
Jordan Holmes,Goalkeeper,,,
George Honeyman,Midfielder,,,
James Horsfield,Midfielder,,,
Tim Howard,Goalkeeper,,,
Sam Howes,Goalkeeper,,,
Tom Huddlestone,Midfielder,,,
Cameron Humphreys-Grant,Defender,,,
James Husband,Defender,,,
Robert Huth,Defender,,,
Emerson Hyndman,Midfielder,,,
Pierre-Emile Højbjerg,Midfielder,,,
Jordon Ibe,Midfielder,,,
Zlatan Ibrahimovic,Forward,,,
Odion Ighalo,Forward,,,
Kelechi Iheanacho,Forward,,,
Giannelli Imbula,Midfielder,,,
Gökhan Inler,Midfielder,,,
Stephen Ireland,Midfielder,,,
Isaac Success,Forward,,,
Juan Iturbe,Forward,,,
Branislav Ivanovic,Defender,,,
Alex Iwobi,Midfielder,,,
Brad Jackson,Midfielder,,,
Phil Jagielka,Defender,,,
Calaum Jahraldo-Martin,Defender,,,
Eldin Jakupovic,Goalkeeper,,,
Matty James,Midfielder,,,
Daryl Janmaat,Defender,,,
Vincent Janssen,Forward,,,
Adnan Januzaj,Midfielder,,,
Mile Jedinak,Midfielder,,,
Carl Jenkinson,Defender,,,
João Teixeira,Midfielder,,,
Joe Maguire,Defender,,,
Joel Pereira,Goalkeeper,,,
Johann Berg Gudmundsson,Midfielder,,,
