assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,631,0,0,288,0,0,0,0.0,16692,0.0,0,2018-03-03T15:00:00Z,03 Mar 15:00,0,0,0,0,0,16,0,0,0,0,0,0,29,0,0,0,0,0,1,4,0.0,0,0,0,0,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,631,0,0,300,0,0,0,0.0,17325,0.0,0,2018-03-10T15:00:00Z,10 Mar 15:00,0,0,0,0,0,4,0,0,0,0,0,0,30,0,104,0,0,0,3,0,0.0,0,55,71,16,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,631,0,0,320,0,0,0,0.0,18226,0.0,0,2018-03-31T14:00:00Z,31 Mar 15:00,0,0,0,0,0,14,0,0,0,0,0,0,32,0,285,0,0,0,0,3,0.0,0,57,96,39,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,631,0,0,324,0,0,0,0.0,18863,0.0,0,2018-04-08T15:30:00Z,08 Apr 16:30,0,0,0,0,0,5,0,0,0,0,0,0,33,0,291,0,0,0,1,1,0.0,0,-1,28,29,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,631,0,0,340,0,0,0,0.0,19735,0.0,0,2018-04-16T19:00:00Z,16 Apr 20:00,0,0,0,0,0,15,0,0,0,0,0,0,34,0,312,0,0,0,1,1,0.0,0,-1,28,29,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,631,0,0,341,0,0,0,0.0,20148,0.0,0,2018-04-22T12:30:00Z,22 Apr 13:30,0,0,0,0,0,1,0,0,0,0,0,0,35,0,326,0,0,0,,,0.0,0,6,25,19,45,False,0,0
